INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_ID,TABLE_NO,SYSTEM_TYPE,TABLE_JAPAN_NAME,TABLE_ENGLISH_NAME,TIME_STOP_DELETE,HAS_PARENT_TBL_FLG,PARENT_TBL_NAME,PARENT_TBL_JP_NAME,FIELD_ACQ_DATE_TIME,FIELD_ACQ_END_DATE,FIELD_ACQ_EMPLOYEE_ID,FIELD_ACQ_START_DATE,FIELD_ACQ_CID,FIELD_PARENT_1,FIELD_PARENT_2,FIELD_PARENT_3,FIELD_PARENT_4,FIELD_PARENT_5,FIELD_PARENT_6,FIELD_PARENT_7,FIELD_PARENT_8,FIELD_PARENT_9,FIELD_PARENT_10,FIELD_CHILD_1,FIELD_CHILD_2,FIELD_CHILD_3,FIELD_CHILD_4,FIELD_CHILD_5,FIELD_CHILD_6,FIELD_CHILD_7,FIELD_CHILD_8,FIELD_CHILD_9,FIELD_CHILD_10,CLS_KEY_QUERY_1,CLS_KEY_QUERY_2,CLS_KEY_QUERY_3,CLS_KEY_QUERY_4,CLS_KEY_QUERY_5,CLS_KEY_QUERY_6,CLS_KEY_QUERY_7,CLS_KEY_QUERY_8,CLS_KEY_QUERY_9,CLS_KEY_QUERY_10,DEFAULT_COND_KEY_QUERY,FIELD_KEY_QUERY_1,FIELD_KEY_QUERY_2,FIELD_KEY_QUERY_3,FIELD_KEY_QUERY_4,FIELD_KEY_QUERY_5,FIELD_KEY_QUERY_6,FIELD_KEY_QUERY_7,FIELD_KEY_QUERY_8,FIELD_KEY_QUERY_9,FIELD_KEY_QUERY_10,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,FIELD_DATE_11,FIELD_DATE_12,FIELD_DATE_13,FIELD_DATE_14,FIELD_DATE_15,FIELD_DATE_16,FIELD_DATE_17,FIELD_DATE_18,FIELD_DATE_19,FIELD_DATE_20,FILED_KEY_UPDATE_1,FILED_KEY_UPDATE_2,FILED_KEY_UPDATE_3,FILED_KEY_UPDATE_4,FILED_KEY_UPDATE_5,FILED_KEY_UPDATE_6,FILED_KEY_UPDATE_7,FILED_KEY_UPDATE_8,FILED_KEY_UPDATE_9,FILED_KEY_UPDATE_10,FILED_KEY_UPDATE_11,FILED_KEY_UPDATE_12,FILED_KEY_UPDATE_13,FILED_KEY_UPDATE_14,FILED_KEY_UPDATE_15,FILED_KEY_UPDATE_16,FILED_KEY_UPDATE_17,FILED_KEY_UPDATE_18,FILED_KEY_UPDATE_19,FILED_KEY_UPDATE_20,HISTORY_CLS
,,,,,,,,,101,1,1,01マスタコピーカテゴリ,SSPCT_MASTERCOPY_CATEGORY,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATEGORY_NO,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,101,2,1,02マスタコピーデータ,SSPCT_MASTERCOPY_DATA,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATEGORY_NO,TABLE_NO,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,102,1,1,01休職休業枠,BSYST_TEMP_ABSENCE_FRAME,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,TEMP_ABSENCE_FR_NO,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,102,2,1,02残業枠,KSHMT_OVER_FRAME,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,OT_FR_NO,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,102,3,1,03休出枠,KSHMT_HD_WORK_FRAME,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,WDO_FR_NO,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,103,1,1,01雇用,BSYMT_EMPLOYMENT,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,CODE,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,104,1,1,01分類,BSYMT_CLASSIFICATION,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,CLSCD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,105,1,1,01職位履歴,BSYMT_JOB_HIST,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,HIST_ID,JOB_ID,,,,,,,,,,,,,,,,,,1
,,,,,,,,,105,2,1,02職位情報,BSYMT_JOB_INFO ,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,HIST_ID,JOB_ID,,,,,,,,,,,,,,,,,,1
,,,,,,,,,105,3,1,03職位序列,BSYMT_JOB_RANK,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SEQ_CD,,,,,,,,,,,,,,,,,,,1
