INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCE_ITEM_ID,ATTENDANCE_ITEM_NAME,DISPLAY_NUMBER,USER_CAN_SET,LINE_BREAK_POSITION,DAILY_ATTENDANCE_ATR,TYPE_OF_MASTER,PRIMITIVE_VALUE,DISPLAY_NAME
,,,,,,,,0,"000000000000","000000000000-0000",1,"予定勤務種類",1,1,0,0,1,4,"予定勤務種類"
,,,,,,,,0,"000000000000","000000000000-0000",2,"予定就業時間帯",2,1,0,0,2,5,"予定就業時間帯"
,,,,,,,,0,"000000000000","000000000000-0000",3,"始業時刻",3,1,0,6,,15,"始業時刻"
,,,,,,,,0,"000000000000","000000000000-0000",4,"終業時刻",4,1,0,6,,15,"終業時刻"
,,,,,,,,0,"000000000000","000000000000-0000",5,"始業時刻2",5,1,0,6,,15,"始業時刻2"
,,,,,,,,0,"000000000000","000000000000-0000",6,"終業時刻2",6,1,0,6,,15,"終業時刻2"
,,,,,,,,0,"000000000000","000000000000-0000",27,"勤務予定時間",7,1,0,5,,1,"勤務予定時間"
,,,,,,,,0,"000000000000","000000000000-0000",28,"勤務種類",8,1,0,0,1,4,"勤務種類"
,,,,,,,,0,"000000000000","000000000000-0000",29,"就業時間帯",9,1,0,0,2,5,"就業時間帯"
,,,,,,,,0,"000000000000","000000000000-0000",31,"出勤時刻",13,1,0,6,,15,"出勤時刻"
,,,,,,,,0,"000000000000","000000000000-0000",34,"退勤時刻",15,1,0,6,,15,"退勤時刻"
,,,,,,,,0,"000000000000","000000000000-0000",37,"実出勤時刻",21,0,0,6,,,"実出勤時刻"
,,,,,,,,0,"000000000000","000000000000-0000",39,"実退勤時刻",23,0,0,6,,,"実退勤時刻"
,,,,,,,,0,"000000000000","000000000000-0000",41,"出勤時刻2",17,1,0,6,,15,"出勤時刻2"
,,,,,,,,0,"000000000000","000000000000-0000",44,"退勤時刻2",19,1,0,6,,15,"退勤時刻2"
,,,,,,,,0,"000000000000","000000000000-0000",47,"実出勤時刻2",25,0,0,6,,,"実出勤時刻2"
,,,,,,,,0,"000000000000","000000000000-0000",49,"実退勤時刻2",27,0,0,6,,,"実退勤時刻2"
,,,,,,,,0,"000000000000","000000000000-0000",51,"臨時出勤時刻1",29,1,0,6,,15,"{#Com_AdHocWork}出勤時刻1"
,,,,,,,,0,"000000000000","000000000000-0000",53,"臨時退勤時刻1",31,1,0,6,,15,"{#Com_AdHocWork}退勤時刻1"
,,,,,,,,0,"000000000000","000000000000-0000",55,"臨時実出勤時刻1",41,0,0,6,,,"{#Com_AdHocWork}実出勤時刻1"
,,,,,,,,0,"000000000000","000000000000-0000",57,"臨時実退勤時刻1",43,0,0,6,,,"{#Com_AdHocWork}実退勤時刻1"
